"","hcid","UTMX","UTMY","elev","closest_clinic","catchment_area","closest_river","drought_i","prec","ndvi","tmax","tmin","tmean","tmeanC","date2","name","date","rdtp_u5","rdtp_a5","pos_rdt","yearmon"
"60",111,467667,8203684,1160,14287.04886,403728921.6,354.87025,38.2912864685058,0,0.466428569384984,302.316999162947,287.825142996652,295.071071079799,21.9210710797992,2012-05-20,"Mobola",2012-05-14,2,3,3,May 2012
"61",110,495413,8168780,1204,19538.89434,759644033.9,1078.508669,39.8301429748535,0,0.47185714329992,301.607857840402,287.263288225446,294.435573032924,21.2855730329241,2012-05-20,"Mbabala",2012-05-14,3,6,6,May 2012
"62",109,489883,8203015,1055,7975.726801,239798716.4,479.828009,32.1110003335135,0.0820000022649765,0.469714288200651,302.3154296875,287.428715297154,294.872072492327,21.722072492327,2012-05-20,"Mapanza",2012-05-14,1,7,7,May 2012
"63",108,504094,8191539,1083,10207.77669,309214284.2,6673.366861,32.1110003335135,0.0820000022649765,0.469714288200651,302.3154296875,287.428715297154,294.872072492327,21.722072492327,2012-05-20,"Mangunza",2012-05-14,1,2,2,May 2012
"64",107,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115,39.7984281267438,1.10699999332428,0.440571427345276,301.678004673549,287.496429443359,294.587217058454,21.4372170584542,2012-05-20,"Macha",2012-05-14,1,4,4,May 2012
"65",106,475899,8169766,1268,14303.26344,419002790.9,5722.102797,39.7984281267438,1.10699999332428,0.440571427345276,301.678004673549,287.496429443359,294.587217058454,21.4372170584542,2012-05-20,"Kamwanu",2012-05-14,0,0,0,May 2012
"66",105,486462,8245784,1011,20171.62066,1028382139,15745.78486,32.3501434326172,3.10799995809794,0.494571430342538,302.623857770647,286.813860212054,294.71885899135,21.5688589913504,2012-05-20,"Kabulamwanda",2012-05-14,0,0,0,May 2012
"67",104,448856,8191328,1219,13440.04423,448935561.7,2811.055333,30.8790002550398,0,0.482714286872319,302.602290562221,288.486716134208,295.544503348214,22.3945033482143,2012-05-20,"Habulile",2012-05-14,1,3,3,May 2012
"68",103,492896,8226666,1011,20171.62066,818234640.6,7359.362935,31.7555713653565,1.76499999314546,0.48057143177305,302.636570521763,287.286276681083,294.961423601423,21.8114236014231,2012-05-20,"Chitongo",2012-05-14,4,8,8,May 2012
"69",102,488710,8193870,1100,6747.577047,102078346.6,3139.40613,32.1110003335135,0.0820000022649765,0.469714288200651,302.3154296875,287.428715297154,294.872072492327,21.722072492327,2012-05-20,"Chilalantambo",2012-05-14,0,0,0,May 2012
"70",101,462089,8188978,1188,10862.85713,196111854.8,6450.007832,39.7984281267438,1.10699999332428,0.440571427345276,301.678004673549,287.496429443359,294.587217058454,21.4372170584542,2012-05-20,"Chilala",2012-05-14,1,3,3,May 2012
"71",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,32.5570000239781,2.32500006258488,0.447428571326392,301.913430350167,282.824994768415,292.369212559291,19.2192125592912,2012-05-27,"Simaubi",2012-05-21,0,1,1,May 2012
"72",113,464482,8178382,1207,10862.85713,248957046,3571.639345,38.932856968471,0.0829999968409538,0.422142854758671,301.376569475447,282.452427455357,291.914498465402,18.7644984654018,2012-05-27,"Siabunkululu",2012-05-21,3,5,5,May 2012
"73",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,39.33385685512,0.360000014305115,0.450142860412598,301.348855154855,282.62242780413,291.985641479492,18.8356414794922,2012-05-27,"Nalube",2012-05-21,0,0,0,May 2012
"74",111,467667,8203684,1160,14287.04886,403728921.6,354.87025,38.104857308524,0.298000000417233,0.444857146058764,301.979431152344,282.772713797433,292.376072474888,19.2260724748885,2012-05-27,"Mobola",2012-05-21,0,3,3,May 2012
"75",110,495413,8168780,1204,19538.89434,759644033.9,1078.508669,39.33385685512,0.360000014305115,0.450142860412598,301.348855154855,282.62242780413,291.985641479492,18.8356414794922,2012-05-27,"Mbabala",2012-05-21,1,1,1,May 2012
"76",109,489883,8203015,1055,7975.726801,239798716.4,479.828009,32.5570000239781,2.32500006258488,0.447428571326392,301.913430350167,282.824994768415,292.369212559291,19.2192125592912,2012-05-27,"Mapanza",2012-05-21,1,2,2,May 2012
"77",108,504094,8191539,1083,10207.77669,309214284.2,6673.366861,32.5570000239781,2.32500006258488,0.447428571326392,301.913430350167,282.824994768415,292.369212559291,19.2192125592912,2012-05-27,"Mangunza",2012-05-21,0,2,2,May 2012
"78",107,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115,38.932856968471,0.0829999968409538,0.422142854758671,301.376569475447,282.452427455357,291.914498465402,18.7644984654018,2012-05-27,"Macha",2012-05-21,1,1,1,May 2012
"79",106,475899,8169766,1268,14303.26344,419002790.9,5722.102797,38.932856968471,0.0829999968409538,0.422142854758671,301.376569475447,282.452427455357,291.914498465402,18.7644984654018,2012-05-27,"Kamwanu",2012-05-21,0,0,0,May 2012
"80",105,486462,8245784,1011,20171.62066,1028382139,15745.78486,51.2805709838867,13.8630000725388,0.47357142823083,302.089137486049,282.102142333984,292.095639910017,18.9456399100167,2012-05-27,"Kabulamwanda",2012-05-21,0,0,0,May 2012
"81",104,448856,8191328,1219,13440.04423,448935561.7,2811.055333,28.5472856249128,0.0379999987781048,0.460142855133329,302.313001360212,283.582288469587,292.9476449149,19.7976449148996,2012-05-27,"Habulile",2012-05-21,1,2,2,May 2012
"82",103,492896,8226666,1011,20171.62066,818234640.6,7359.362935,39.4524285452706,9.24899984151125,0.457428578819547,302.12757219587,282.626569475447,292.377070835659,19.2270708356585,2012-05-27,"Chitongo",2012-05-21,0,3,3,May 2012
"83",102,488710,8193870,1100,6747.577047,102078346.6,3139.40613,32.5570000239781,2.32500006258488,0.447428571326392,301.913430350167,282.824994768415,292.369212559291,19.2192125592912,2012-05-27,"Chilalantambo",2012-05-21,0,2,2,May 2012
"84",101,462089,8188978,1188,10862.85713,196111854.8,6450.007832,38.932856968471,0.0829999968409538,0.422142854758671,301.376569475447,282.452427455357,291.914498465402,18.7644984654018,2012-05-27,"Chilala",2012-05-21,0,7,7,May 2012
"85",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,31.563856942313,0.0219999998807907,0.431999998433249,300.281568254743,284.915283203125,292.598425728934,19.448425728934,2012-06-03,"Simaubi",2012-05-28,0,1,1,Jun 2012
"86",113,464482,8178382,1207,10862.85713,248957046,3571.639345,38.5377137320382,0.0800000019371509,0.408571426357542,299.643572126116,284.728855678013,292.186213902065,19.0362139020647,2012-06-03,"Siabunkululu",2012-05-28,1,4,4,Jun 2012
"87",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,38.9890000479562,0.405000001192093,0.438000006335122,299.460571289063,285.113002232143,292.286786760603,19.1367867606028,2012-06-03,"Nalube",2012-05-28,0,1,1,Jun 2012
